description	biosample	sra	organism	host	date	location	   elevation	lat_lon
BG-007	SAMN06835045	SRS2162463	root metagenome	Microthlaspi perfoliatum	2013-05-13	Bulgaria	614	42.50 22.82
D-101	SAMN06835054	SRS2162448	root metagenome	Microthlaspi erraticum	2013-06-06	Germany	278	49.68 10.00
D-102	SAMN06835055	SRS2162447	root metagenome	Microthlaspi erraticum	2013-06-06	Germany	281	49.45 9.82
D-103	SAMN06835056	SRS2162446	root metagenome	Microthlaspi erraticum	2013-06-06	Germany	299	49.27 9.84
D-104	SAMN06835057	SRS2162445	root metagenome	Microthlaspi erraticum	2013-06-12	Germany	515	48.61 9.53
D-105	SAMN06835058	SRS2162443	root metagenome	Microthlaspi erraticum	2013-06-12	Germany	481	48.55 10.12
D-11a	SAMN06835059	SRS2162444	root metagenome	Microthlaspi erraticum	2013-05-09	Germany	504	50.37 7.22
D-11b	SAMN06835060	SRS2162442	root metagenome	Microthlaspi erraticum	2013-05-09	Germany	504	50.37 7.22
ES-001	SAMN06835061	SRS2162454	root metagenome	Microthlaspi perfoliatum	2013-05-02	Spain	1630	38.04 -2.48
ES-002	SAMN06835062	SRS2162440	root metagenome	Microthlaspi perfoliatum	2013-05-02	Spain	1612	38.05 -2.54
ES-003	SAMN06835063	SRS2162439	root metagenome	Microthlaspi sp.	2013-05-02	Spain	1253	38.09 -2.56
BG-010	SAMN06835046	SRS2162456	root metagenome	Microthlaspi erraticum	2013-05-14	Bulgaria	770	42.70 22.83
ES-004	SAMN06835064	SRS2162437	root metagenome	Microthlaspi perfoliatum	2013-05-02	Spain	1204	37.97 -2.45
ES-005	SAMN06835065	SRS2162438	root metagenome	Microthlaspi perfoliatum	2013-05-02	Spain	1351	37.14 -3.48
ES-006	SAMN06835066	SRS2162436	root metagenome	Microthlaspi perfoliatum	2013-05-02	Spain	1669	37.13 -3.43
ES-010	SAMN06835067	SRS2162435	root metagenome	Microthlaspi perfoliatum	2013-05-16	Spain	1055	42.81 -4.25
ES-012	SAMN06835068	SRS2162434	root metagenome	Microthlaspi perfoliatum	2013-05-17	Spain	1305	42.87 -4.15
