strain;host_ploidy;elevation;pH;N;organic_mater;lime;avP;P;avK;S;cond;Na;K;Mg;Ca;bio1;bio2;bio3;bio4;bio5;bio6;bio7;bio8;bio9;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;aridity
P1037;Polyploid;1101;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.5;11.4;3.6;7.1;28.9;-22;31.1;2.4;20.3;20.5;2.4;526;73;12;43;196;46;65;196;4799
P1101;Diploid;285;6.94;0.55924;10.49916;11.08333333;5.954865833;0.1043;21.97714377;0.2038272;694;2.39;3.68;9.81;286.87;9.5;9.2;3.4;6.3;24.1;-24;26.5;17.5;5.4;17.5;1.2;1009;99;70;12;275;222;275;257;12112
P1147;Polyploid;699;7.09;0.50982;9.2234;20.16666667;3.420787783;0.1421;13.99020686;0.063696;628;0.6;3.2;7.23;374.18;8.1;8.6;3.3;6.2;22.3;-37;26;1.1;7.6;16;0;1169;110;81;11;326;261;305;312;15378
P1162;Diploid;285;6.94;0.55924;10.49916;11.08333333;5.954865833;0.1043;21.97714377;0.2038272;694;2.39;3.68;9.81;286.87;9.5;9.2;3.4;6.3;24.1;-24;26.5;17.5;5.4;17.5;1.2;1009;99;70;12;275;222;275;257;12112
P1176;Polyploid;760;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.9;10.3;3.6;6.3;29.5;10;28.5;10.5;22.1;22.1;5.8;986;133;48;31;368;165;165;275;9678
P1180;Diploid;574;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;13.6;10.3;3.6;6.3;29.2;8;28.4;10.2;21.7;21.7;5.7;987;134;47;32;370;163;163;276;9724
P1279;NA;1253;7.23;0.27091;5.44784;6.091666667;10.9148419;0.0864;10.99604143;0.0467104;319;0.38;4.64;8.78;261.95;12.3;12;3.8;6.5;30.7;-6;31.3;10.2;21.1;21.2;4.6;529;68;13;36;183;61;62;148;4656
P1280;Polyploid;1612;6.89;0.63169;16.60212;4.65;5.191302062;0.0919;11.74436271;0.1995808;145;0.49;4.63;13.93;673.1;10.1;12.1;3.8;6.6;29;-28;31.8;7.8;19.2;19.2;2.5;643;81;19;34;221;81;81;178;5970
P1281;Polyploid;1612;6.89;0.63169;16.60212;4.65;5.191302062;0.0919;11.74436271;0.1995808;145;0.49;4.63;13.93;673.1;10.1;12.1;3.8;6.6;29;-28;31.8;7.8;19.2;19.2;2.5;643;81;19;34;221;81;81;178;5970
P1312;Polyploid;1612;6.89;0.63169;16.60212;4.65;5.191302062;0.0919;11.74436271;0.1995808;145;0.49;4.63;13.93;673.1;10.1;12.1;3.8;6.6;29;-28;31.8;7.8;19.2;19.2;2.5;643;81;19;34;221;81;81;178;5970
