species;strain;substrate;conidiogenesis;conidia;conidia_type;strategy;aquatic
Articulospora_tetracladia;Articulospora_tetracladia_DSM104345;litter;holoblastic;single;tetraradiate;S;T
Cadophora_antarctica;Cadophora_antarctica_CBS143035;soil;holoblastic;chains;nonseptate;S;F
Cadophora_constrictospora;P1751;roots;phialidic;heads;nonseptate;E;F
Cadophora_fascicularis;P2794;roots;holoblastic;chains;nonseptate;E;F
Cadophora_fastigiata;Cadophora_fastigiata_CBS307.49;wood;phialidic;single;nonseptate;S;F
Cadophora_ferruginea;P1323;roots;phialidic;single;nonseptate;E;F
Cadophora_gregata;Cadophora_gregata_ATCC11073_TYPE;stem;phialidic;heads;nonseptate;P;F
Cadophora_helianthi;Cadophora_helianthi_Clo0316;wood;phialidic;single;nonseptate;P;F
Cadophora_interclivum;Cadophora_interclivum_BAG4;roots;phialidic;heads;nonseptate;E;F
Cadophora_lacrimiformis;Cadophora_lacrimiformis_MFLU16_1486;stem;unknown;unknown;nonseptate;S;F
Cadophora_luteo-olivacea;Cadophora_luteo_olivacea_CBS141.41_TYPE;wood;phialidic;single;nonseptate;P;F
Cadophora_malorum;Cadophora_malorum_IS090;wood;phialidic;single;nonseptate;P;F
Cadophora_margaritata;Cadophora_margaritata_CBS144084;wood;phialidic;heads;nonseptate;S;F
Cadophora_melinii;Cadophora_melinii_CBS268.33;wood;phialidic;single;nonseptate;P;F
Cadophora_meredithiae;Cadophora_meredithiae_BAG2;roots;phialidic;heads;nonseptate;E;F
Cadophora_microspora;Cadophora_microspora_MFLU18_2672;stem;unknown;unknown;nonseptate;S;F
Cadophora_novi-eboraci;Cadophora_novi_eboraci_NYC14_TYPE;wood;phialidic;single;nonseptate;P;F
Cadophora_obovata;P1963;roots;holoblastic;single;nonseptate;E;F
Cadophora_cf._orchidicola;P1854;roots;phialidic;single;nonseptate;E;F
Cadophora_orchidicola;Cadophora_orchidicola_DEPMD_S_10;roots;holoblastic;single;nonseptate;E;F
Cadophora_orientoamericana;Cadophora_orientoamericana_NHC1_TYPE;wood;phialidic;single;nonseptate;P;F
Cadophora_echinata;P6045;roots;holoblastic;chains;septate;E;F
Cadophora_ramosa;Cadophora_spadicis_AG20;wood;phialidic;single;nonseptate;P;F
Cadophora_variabilis;P1176;roots;holoblastic;chains;nonseptate;E;F
Cadophora_viticola;Cadophora_viticola_Cme_2;wood;phialidic;single;nonseptate;P;F
Collembolispora_aristata;Collembolispora_aristata_CPC21145_TYPE;litter;holoblastic;heads;branched;S;T
Collembolispora_barbata;Collembolispora_barbata_CBS115944_TYPE;litter;holoblastic;single;branched;S;T
Gyoerffyella_rotula;Gyoerffyella_rotula_CCMF_400;litter;holoblastic;single;branched;S;T
Helgardia_anguioides;Helgardia_anguioides;stem;holoblastic;single;septate;P;F
Hyaloscypha_finlandica;Cadophora_finlandica_IFM_50530;roots;phialidic;single;nonseptate;E;F
Cadophora_dextrinospora;Mollisia_dextrinospora_AG5;litter;phialidic;single;nonseptate;S;F
Mycochaetophora_gentianae;Mycochaetophora_gentianae_MAFF239231;leaves;holoblastic;chains;septate;P;F
Mycochaetophora_sp.;Mycochaetophora_sp._MAFF239284;unknown;unknown;unknown;unknown;unknown;F
Oculimacula_acuformis;Oculimacula_acuformis_CBS495.80;stem;holoblastic;heads;nonseptate;P;F
Oculimacula_aestiva;Oculimacula_aestiva_CBS114730;stem;holoblastic;heads;nonseptate;P;F
Oculimacula_yallundae;Oculimacula_yallundae_CBS110665;stem;holoblastic;heads;nonseptate;P;F
Cadophora_bubakii;Phialophora_bubakii_CBS198.30;wood;phialidic;heads;nonseptate;S/E;F
Rhexocercosporidium_carotae;Rhexocercosporidium_carotae_CBS418.65_TYPE;roots;holoblastic;single;septate;P;F
Rhynchosporium_agropyri;Rhynchosporium_agropyri_H11;leaves;holoblastic;single;septate;P;F
Rhynchosporium_commune;Rhynchosporium_commune_H10;leaves;holoblastic;single;septate;P;F
Rhynchosporium_orthosporum;Rhynchosporium_orthosporum_H2;leaves;holoblastic;single;septate;P;F
Rhynchosporium_secalis;Rhynchosporium_secalis_02CH4_6a;leaves;holoblastic;single;septate;P;F
Varicosporium_elodeae;Varicosporium_elodeae_CCMF_04276;litter;holoblastic;single;tetraradiate;S;T
