isolate;species;type;its;lsu;tef;rpb2;country;collection_site;latitude;longitude;altitude;source;host;collection_date;cma_diam;cma_diam_sd;pda_diam;pda_diam_sd;mea_diam;mea_diam_sd;ncon;ncon_sd;con_len;con_len_sd;con_wid;con_wid_sd;CMA_color_top;CMA_texture_top;CMA_color_bottom;CMA_form;CMA_margin;CMA_color_medium;CMA_aut_inhibition;CMA_elevation;CMA_others;PDA_color_top;PDA_texture_top;PDA_color_bottom;PDA_form;PDA_margin;PDA_color_medium;PDA_aut_inhibition;PDA_elevation;PDA_others;MEA_color_top;MEA_texture_top;MEA_color_bottom;MEA_form;MEA_margin;MEA_color_medium;MEA_aut_inhibition;MEA_elevation;MEA_others;CMA_simp_color;CMA_pigm;PDA_simp_color;PDA_pigm;MEA_simp_color;MEA_pigm;conidiogenesis;conidia_attachment;conidia_type
P1101;Cadophora obovata;F;KT268419;MN339352;MN325858;MN367275;France;F-001;47.41;6.56;285;surface-sterilized, asymptomatic roots;Microthlaspi erraticum;2013-04-19;0.2766666667;0.0461880215;0.5833333333;0.073711148;0.6733333333;0.0808290377;0;0;NA;NA;NA;NA;center light gray, margin dark green;smooth;dark green;circular;entire;0;0;flat;NA;center gray, margin brown;velvety;brown;circular;entire;0;0;raised;NA;light gray;floccose;dark red;circular;filiform;0;0;flat;NA;gray;1;gray;2;gray;1;holoblastic;single;nonseptate
P1162;Mycochaetophora sp.;F;KT268479;MN339353;MN339531;MN367228;France;F-001;47.41;6.56;285;surface-sterilized, asymptomatic roots;Microthlaspi erraticum;2013-04-19;0.42;0;0.4533333333;0.04163332;0.34;0.0173205081;0;0;NA;NA;NA;NA;light gray;smooth;dark green;circular;entire;0;0;flat;NA;center light gray, margin green;velvety;light gray;circular;entire;0;0;flat;NA;light gray/light purple;smooth;light gray;circular;entire;0;0;raised;NA;gray;1;gray;1;gray;1;NA;NA;NA
P1176;Cadophora variabilis;T;KT268493;MK539845;MK550890;MN367276;Croatia;HR-023;44.24;15.54;760;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-04;0.21;0.0173205081;0.23;0.0173205081;0.13;0.0346410162;368.4;638.0875175084;16;NA;7.25;NA;dark brown;velvety;dark brown;circular;entire;0;0;flat;NA;center light brown, margin dark brown;velvety;dark brown;circular;entire;0;0;raised;NA;light brown;smooth;brown;circular;entire;0;0;convex;NA;brown;3;brown;1;brown;1;holoblastic;chains;nonseptate
P1280;Cadophora sp. 3;F;KT268575;MN339354;MN325859;NA;Spain;ES-002;38.05;-2.54;1612;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.1111111111;0.0962250449;0.0277777778;0.0481125224;0.1666666667;0;NA;NA;NA;NA;NA;NA;light cream;floccose;white;circular;entire;0;0;flat;NA;white/creamy;floccose;creamy;circular;entire;0;0;raised;NA;white/creamy;floccose;light brown;circular;filiform;0;0;flat;NA;cream;1;white;1;white;1;NA;NA;NA
P1281;Cadophora sp. 3;F;KT268576;NA;NA;NA;Spain;ES-002;38.05;-2.54;1612;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.0555555556;0.0962250449;0.0277777778;0.0481125224;0.1666666667;0;NA;NA;NA;NA;NA;NA;light cream;floccose;white;circular;entire;0;0;flat;NA;white/creamy;floccose;creamy;circular;entire;0;0;raised;NA;white/creamy;floccose;light brown;circular;filiform;0;0;flat;NA;cream;1;white;1;white;1;NA;NA;NA
P1313;Cadophora cf. meredithiae;F;KT268608;MN339355;MN325860;MN367229;Spain;ES-001;38.04;-2.48;1630;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.73;0.1113552873;0.83;0;0.74;0.0346410162;50104.3333333333;9967.6485292838;5.499;0.7194666234;2.267;0.4833459768;center dark green, margin white;velvety;dark green;circular;entire;0;1;flat;NA;dark gray/green;velvety;dark gray;circular;entire;0;0;flat;NA;gray;floccose;gray;circular;entire;0;0;flat;NA;green;3;gray;3;gray;2;phialidic;heads;nonseptate
P1323;Cadophora ferruginea;T;KT268618;MN339356;MN325861;NA;Spain;ES-001;38.04;-2.48;1630;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.48;0.1410673598;0.4433333333;0.0251661148;0.53;0.03;93577.2;27170.3974632319;3.307;0.4788191493;2.351;0.3053031281;light gray/back;velvety;dark gray;circular;entire;0;0;flat;NA;red/wine;velvety;dark red;irregular;entire;1;0;flat;NA;red/wine;hairy;dark red;circular;entire;1;0;raised;NA;gray;1;red;1;red;1;phialidic;single;nonseptate
P1331;Cadophora variabilis;F;KT268626;MK539836;MK550891;MN367230;Spain;ES-001;38.04;-2.48;1630;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.22;0;0.22;0;0.16;0.0173205081;0;0;NA;NA;NA;NA;center dark gray black, margin white;velvety;gray;circular;entire;0;0;umbonate;NA;light pink/gray;velvety;dark pink;circular;entire;0;0;raised;NA;light pink;smooth;light brown;circular;entire;0;0;raised;NA;black;3;pink;1;pink;1;holoblastic;chains;nonseptate
P1344;Cadophora sp. 2;F;KT268639;MN339357;MN325862;MN367297;Spain;ES-002;38.05;-2.54;1612;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.4066666667;0.0288675135;0.4266666667;0.0404145188;0.4433333333;0.0251661148;0;0;NA;NA;NA;NA;dark gray/green;velvety;dark gray;circular;entire;0;0;raised;NA;gray;velvety;dark gray;circular;entire;0;0;umbonate;NA;gray;floccose;dark gray;circular;entire;0;0;raised;NA;gray;3;gray;2;gray;2;NA;NA;NA
P1348;Cadophora sp. 2;F;KT268643;MN339358;MN325863;MN367277;Spain;ES-002;38.05;-2.54;1612;surface-sterilized, asymptomatic roots;Microthlaspi perfoliatum;2013-05-02;0.44;0;0.39;0;0.47;0.03;0;0;NA;NA;NA;NA;dark gray/green;velvety;dark gray;circular;entire;0;0;raised;NA;gray;velvety;dark gray;circular;entire;0;0;umbonate;NA;gray;floccose;dark gray;circular;entire;0;0;raised;NA;gray;3;gray;2;gray;2;NA;NA;NA
